PIUMHI;4;136;140
PLANURA;-;28;28
POCO FUNDO;-;85;85
POCOS DE CALDAS;22;761;783
POMPEU;2;40;42
PONTE NOVA;6;143;149
PORTEIRINHA;3;32;35
PORTO FIRME;-;4;4
POTE;1;22;23
POUSO ALEGRE;17;472;489
POUSO ALTO;-;18;18
PRADOS;-;8;8
PRATA;1;27;28
PRATAPOLIS;-;22;22
PRATINHA;-;8;8
PRESIDENTE BERNARDES;-;4;4
PRESIDENTE JUSCELINO;-;7;7
PRESIDENTE KUBITSCHEK;-;4;4
PRUDENTE DE MORAIS;2;9;11
QUARTEL GERAL;-;9;9
QUELUZITO;-;2;2
RAPOSOS;-;27;27
RAUL SOARES;-;16;16
RECREIO;-;13;13
RESENDE COSTA;-;31;31
RESPLENDOR;3;28;31
RESSAQUINHA;-;7;7
RIACHINHO;-;11;11
RIACHO DOS MACHADOS;-;2;2
RIBEIRAO DAS NEVES;6;314;320
RIO ACIMA;1;4;5
RIO CASCA;-;18;18
RIO DOCE;-;14;14
RIO DO PRADO;-;1;1
RIO ESPERA;-;2;2
RIO NOVO;-;7;7
RIO PARDO DE MINAS;-;59;59
RIO PIRACICABA;-;12;12
RIO POMBA;2;88;90
RIO PRETO;-;1;1
RIO VERMELHO;-;2;2
RITAPOLIS;-;11;11
RODEIRO;-;2;2
ROMARIA;-;11;11
SABARA;6;180;186
SABINOPOLIS;-;20;20
SACRAMENTO;-;69;69
SALINAS;-;27;27
SALTO DA DIVISA;-;7;7
SANTA BARBARA;1;70;71
SANTA BARBARA DO LESTE;-;13;13
SANTA BARBARA DO MONTE VERDE;-;2;2
SANTA BARBARA DO TUGURIO;-;6;6
SANTA CRUZ DE MINAS;-;8;8
SANTA CRUZ DO ESCALVADO;1;3;4
SANTA JULIANA;1;25;26
SANTA LUZIA;2;63;65
SANTA MARGARIDA;1;51;52
SANTA MARIA DE ITABIRA;-;11;11
SANTA MARIA DO SALTO;-;2;2
SANTA MARIA DO SUACUI;-;7;7
SANTANA DE PIRAPAMA;-;4;4
SANTANA DO GARAMBEU;1;2;3
SANTANA DO JACARE;-;17;17
SANTANA DO PARAISO;3;76;79
SANTANA DOS MONTES;-;11;11
SANTA RITA DE CALDAS;3;42;45
SANTA RITA DE JACUTINGA;-;10;10
SANTA RITA DE MINAS;-;6;6
SANTA RITA DE IBITIPOCA;1;6;7
SANTA RITA DO SAPUCAI;1;195;196
SANTA ROSA DA SERRA;-;19;19
SANTA VITORIA;1;118;119
SANTO ANTONIO DO AMPARO;-;13;13
SANTO ANTONIO DO AVENTUREIRO;-;8;8
SANTO ANTONIO DO GRAMA;1;17;18
SANTO ANTONIO DO ITAMBE;-;21;21
SANTO ANTONIO DO JACINTO;-;3;3
SANTO ANTONIO DO MONTE;1;40;41
SANTO ANTONIO DO RETIRO;-;2;2
SANTO ANTONIO DO RIO ABAIXO;-;2;2
SANTO HIPOLITO;-;1;1
SANTOS DUMONT;1;10;11
SAO BENTO ABADE;-;11;11
SAO BRAS DO SUACUI;-;26;26
SAO DOMINGOS DAS DORES;2;10;12
SAO DOMINGOS DO PRATA;2;37;39
SAO FELIX DE MINAS;-;8;8
SAO FRANCISCO;-;13;13
SAO FRANCISCO DE SALES;2;18;20
SAO GERALDO;-;14;14
SAO GERALDO DO BAIXIO;-;4;4
SAO GONCALO DO ABAETE;-;8;8
SAO GONCALO DO RIO ABAIXO;-;15;15
SAO GONCALO DO SAPUCAI;8;87;95
SAO GOTARDO;3;74;77
SAO JOAO BATISTA DO GLORIA;-;50;50
SAO JOAO DA MATA;-;8;8
SAO JOAO DA PONTE;-;35;35
SAO JOAO DEL REI;4;166;170
SAO JOAO DO MANHUACU;-;15;15
SAO JOAO DO ORIENTE;-;35;35
SAO JOAO DO PARAISO;-;10;10
SAO JOAO NEPOMUCENO;3;72;75
SAO JOAQUIM DE BICAS;1;43;44
SAO JOSE DA BARRA;1;22;23
SAO JOSE DA LAPA;-;13;13
SAO JOSE DA SAFIRA;-;19;19
SAO JOSE DA VARGINHA;-;15;15
SAO JOSE DO ALEGRE;-;6;6
SAO JOSE DO DIVINO;-;17;17
SAO JOSE DO GOIABAL;-;9;9
SAO JOSE DO JACURI;-;1;1
SAO LOURENCO;5;227;232
SAO MIGUEL DO ANTA;-;19;19
SAO PEDRO DA UNIAO;1;15;16
SAO PEDRO DOS FERROS;2;27;29
SAO PEDRO DO SUACUI;-;5;5
SAO SEBASTIAO DA BELA VISTA;-;17;17
SAO SEBASTIAO DA VARGEM ALEGRE;-;7;7
SAO SEBASTIAO DO ANTA;-;1;1
SAO SEBASTIAO DO OESTE;-;5;5
SAO SEBASTIAO DO PARAISO;6;394;400
