Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sobrepeso
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"313990 MARIA DA FE";40;52;92
"314000 MARIANA";51;33;84
"314020 MARIPA DE MINAS";-;1;1
"314030 MARLIERIA";3;11;14
"314040 MARMELOPOLIS";5;31;36
"314050 MARTINHO CAMPOS";11;42;53
"314060 MATERLANDIA";4;1;5
"314070 MATEUS LEME";69;57;126
"314080 MATIAS BARBOSA";14;21;35
"314085 MATIAS CARDOSO";2;6;8
"314100 MATO VERDE";-;5;5
"314110 MATOZINHOS";3;4;7
"314120 MATUTINA";2;1;3
"314130 MEDEIROS";-;2;2
"314140 MEDINA";3;6;9
"314150 MENDES PIMENTEL";3;2;5
"314160 MERCES";15;7;22
"314170 MESQUITA";3;1;4
"314180 MINAS NOVAS";2;13;15
"314190 MINDURI";2;13;15
"314200 MIRABELA";5;4;9
"314210 MIRADOURO";1;5;6
"314220 MIRAI";6;19;25
"314225 MIRAVANIA";-;1;1
"314230 MOEDA";17;21;38
"314240 MOEMA";1;8;9
"314250 MONJOLOS";2;4;6
"314280 MONTE ALEGRE DE MINAS";10;25;35
"314290 MONTE AZUL";10;24;34
"314300 MONTE BELO";9;28;37
"314310 MONTE CARMELO";66;107;173
"314320 MONTE SANTO DE MINAS";26;70;96
"314330 MONTES CLAROS";172;322;494
"314340 MONTE SIAO";26;98;124
"314345 MONTEZUMA";-;1;1
"314350 MORADA NOVA DE MINAS";8;37;45
"314370 MORRO DO PILAR";-;1;1
"314380 MUNHOZ";13;13;26
"314390 MURIAE";31;60;91
"314400 MUTUM";2;3;5
"314410 MUZAMBINHO";4;25;29
"314420 NACIP RAYDAN";1;10;11
"314430 NANUQUE";6;27;33
"314435 NAQUE";6;23;29
"314440 NATERCIA";2;11;13
"314450 NAZARENO";12;12;24
"314460 NEPOMUCENO";25;45;70
"314465 NINHEIRA";-;1;1
"314467 NOVA BELEM";-;5;5
"314470 NOVA ERA";3;5;8
"314480 NOVA LIMA";73;142;215
"314490 NOVA MODICA";2;1;3
"314505 NOVA PORTEIRINHA";2;1;3
"314510 NOVA RESENDE";8;29;37
"314520 NOVA SERRANA";58;124;182
"314530 NOVO CRUZEIRO";4;8;12
"314537 NOVORIZONTE";5;3;8
"314540 OLARIA";3;3;6
"314550 OLIMPIO NORONHA";1;3;4
"314560 OLIVEIRA";28;58;86
"314570 OLIVEIRA FORTES";3;3;6
"314580 ONCA DE PITANGUI";3;9;12
"314585 ORATORIOS";-;3;3
"314587 ORIZANIA";2;1;3
"314590 OURO BRANCO";33;26;59
"314600 OURO FINO";23;66;89
"314610 OURO PRETO";111;166;277
"314620 OURO VERDE DE MINAS";-;1;1
"314630 PADRE PARAISO";3;1;4
"314640 PAINEIRAS";2;6;8
"314650 PAINS";6;11;17
"314655 PAI PEDRO";2;2;4
"314660 PAIVA";5;1;6
"314670 PALMA";3;6;9
"314675 PALMOPOLIS";5;3;8
"314690 PAPAGAIOS";7;7;14
"314700 PARACATU";29;35;64
"314710 PARA DE MINAS";227;264;491
"314730 PARAISOPOLIS";32;61;93
"314740 PARAOPEBA";7;3;10
"314780 PASSA-VINTE";-;4;4
"314790 PASSOS";71;160;231
"314800 PATOS DE MINAS";109;195;304
"314810 PATROCINIO";37;56;93
"314830 PAULA CANDIDO";10;34;44
"314860 PECANHA";1;2;3
"314870 PEDRA AZUL";-;2;2
"314880 PEDRA DO ANTA";-;4;4
"314900 PEDRA DOURADA";-;1;1
"314910 PEDRALVA";9;53;62
"314915 PEDRAS DE MARIA DA CRUZ";-;1;1
"314920 PEDRINOPOLIS";-;3;3
"314930 PEDRO LEOPOLDO";18;9;27
"314960 PEQUI";3;8;11
"314970 PERDIGAO";5;12;17
"314980 PERDIZES";18;37;55
"314990 PERDOES";10;21;31
"314995 PERIQUITO";11;19;30
"315000 PESCADOR";5;1;6
"315010 PIAU";-;8;8
"315015 PIEDADE DE CARATINGA";10;24;34
"315020 PIEDADE DE PONTE NOVA";3;8;11
"315030 PIEDADE DO RIO GRANDE";-;3;3
"315040 PIEDADE DOS GERAIS";5;4;9
"315050 PIMENTA";10;12;22
"315053 PINGO-D'AGUA";2;2;4
"315060 PIRACEMA";4;3;7
"315080 PIRANGA";7;16;23
"315090 PIRANGUCU";17;26;43
"315100 PIRANGUINHO";40;46;86
"315110 PIRAPETINGA";5;16;21
"315120 PIRAPORA";7;8;15
"315130 PIRAUBA";6;11;17
"315140 PITANGUI";73;48;121
"315150 PIUMHI";43;97;140
"315160 PLANURA";6;22;28
"315170 POCO FUNDO";26;59;85
"315180 POCOS DE CALDAS";322;461;783
"315200 POMPEU";20;22;42
"315210 PONTE NOVA";46;103;149
"315220 PORTEIRINHA";20;15;35
"315230 PORTO FIRME";1;3;4
"315240 POTE";4;19;23
"315250 POUSO ALEGRE";205;284;489
"315260 POUSO ALTO";1;17;18
"315270 PRADOS";5;3;8
"315280 PRATA";8;20;28
"315290 PRATAPOLIS";6;16;22
"315300 PRATINHA";3;5;8
"315310 PRESIDENTE BERNARDES";-;4;4
"315320 PRESIDENTE JUSCELINO";3;4;7
"315330 PRESIDENTE KUBITSCHEK";1;3;4
"315360 PRUDENTE DE MORAIS";3;8;11
"315370 QUARTEL GERAL";3;6;9
"315380 QUELUZITO";-;2;2
"315390 RAPOSOS";8;19;27
"315400 RAUL SOARES";6;10;16
"315410 RECREIO";5;8;13
"315420 RESENDE COSTA";15;16;31
"315430 RESPLENDOR";17;14;31
"315440 RESSAQUINHA";2;5;7
"315445 RIACHINHO";1;10;11
"315450 RIACHO DOS MACHADOS";-;2;2
"315460 RIBEIRAO DAS NEVES";107;213;320
"315480 RIO ACIMA";2;3;5
"315490 RIO CASCA";7;11;18
"315500 RIO DOCE";8;6;14
"315510 RIO DO PRADO";-;1;1
"315520 RIO ESPERA";-;2;2
"315540 RIO NOVO";2;5;7
"315560 RIO PARDO DE MINAS";12;47;59
"315570 RIO PIRACICABA";6;6;12
"315580 RIO POMBA";39;51;90
"315590 RIO PRETO";-;1;1
"315600 RIO VERMELHO";1;1;2
"315610 RITAPOLIS";7;4;11
"315630 RODEIRO";-;2;2
"315640 ROMARIA";3;8;11
"315670 SABARA";67;119;186
"315680 SABINOPOLIS";6;14;20
"315690 SACRAMENTO";24;45;69
"315700 SALINAS";5;22;27
"315710 SALTO DA DIVISA";2;5;7
"315720 SANTA BARBARA";22;49;71
"315725 SANTA BARBARA DO LESTE";3;10;13
"315727 SANTA BARBARA DO MONTE VERDE";1;1;2
"315730 SANTA BARBARA DO TUGURIO";-;6;6
"315733 SANTA CRUZ DE MINAS";-;8;8
"315740 SANTA CRUZ DO ESCALVADO";1;3;4
"315770 SANTA JULIANA";5;21;26
"315780 SANTA LUZIA";13;52;65
"315790 SANTA MARGARIDA";8;44;52
"315800 SANTA MARIA DE ITABIRA";2;9;11
"315810 SANTA MARIA DO SALTO";1;1;2
"315820 SANTA MARIA DO SUACUI";1;6;7
"315850 SANTANA DE PIRAPAMA";1;3;4
"315870 SANTANA DO GARAMBEU";1;2;3
"315880 SANTANA DO JACARE";7;10;17
"315895 SANTANA DO PARAISO";21;58;79
"315910 SANTANA DOS MONTES";2;9;11
"315920 SANTA RITA DE CALDAS";16;29;45
"315930 SANTA RITA DE JACUTINGA";4;6;10
"315935 SANTA RITA DE MINAS";5;1;6
"315940 SANTA RITA DE IBITIPOCA";1;6;7
"315960 SANTA RITA DO SAPUCAI";78;118;196
"315970 SANTA ROSA DA SERRA";3;16;19
"315980 SANTA VITORIA";40;79;119
"315990 SANTO ANTONIO DO AMPARO";7;6;13
"316000 SANTO ANTONIO DO AVENTUREIRO";2;6;8
"316010 SANTO ANTONIO DO GRAMA";4;14;18
"316020 SANTO ANTONIO DO ITAMBE";4;17;21
"316030 SANTO ANTONIO DO JACINTO";-;3;3
"316040 SANTO ANTONIO DO MONTE";21;20;41
"316045 SANTO ANTONIO DO RETIRO";-;2;2
"316050 SANTO ANTONIO DO RIO ABAIXO";-;2;2
"316060 SANTO HIPOLITO";-;1;1
"316070 SANTOS DUMONT";5;6;11
"316080 SAO BENTO ABADE";2;9;11
"316090 SAO BRAS DO SUACUI";10;16;26
"316095 SAO DOMINGOS DAS DORES";7;5;12
"316100 SAO DOMINGOS DO PRATA";11;28;39
"316105 SAO FELIX DE MINAS";2;6;8
"316110 SAO FRANCISCO";4;9;13
"316130 SAO FRANCISCO DE SALES";6;14;20
"316150 SAO GERALDO";5;9;14
"316165 SAO GERALDO DO BAIXIO";-;4;4
"316170 SAO GONCALO DO ABAETE";2;6;8
"316190 SAO GONCALO DO RIO ABAIXO";7;8;15
"316200 SAO GONCALO DO SAPUCAI";27;68;95
"316210 SAO GOTARDO";30;47;77
"316220 SAO JOAO BATISTA DO GLORIA";22;28;50
"316230 SAO JOAO DA MATA";2;6;8
"316240 SAO JOAO DA PONTE";9;26;35
"316250 SAO JOAO DEL REI";61;109;170
"316255 SAO JOAO DO MANHUACU";2;13;15
"316260 SAO JOAO DO ORIENTE";10;25;35
"316270 SAO JOAO DO PARAISO";5;5;10
"316290 SAO JOAO NEPOMUCENO";32;43;75
"316292 SAO JOAQUIM DE BICAS";12;32;44
"316294 SAO JOSE DA BARRA";10;13;23
"316295 SAO JOSE DA LAPA";5;8;13
"316300 SAO JOSE DA SAFIRA";13;6;19
"316310 SAO JOSE DA VARGINHA";4;11;15
"316320 SAO JOSE DO ALEGRE";-;6;6
"316330 SAO JOSE DO DIVINO";2;15;17
