NAZARENO;13;11;24
NEPOMUCENO;26;44;70
NINHEIRA;-;1;1
NOVA BELEM;-;5;5
NOVA ERA;3;5;8
NOVA LIMA;102;113;215
NOVA MODICA;3;-;3
NOVA PORTEIRINHA;-;3;3
NOVA RESENDE;13;24;37
NOVA SERRANA;72;110;182
NOVO CRUZEIRO;4;8;12
NOVORIZONTE;3;5;8
OLARIA;2;4;6
OLIMPIO NORONHA;1;3;4
OLIVEIRA;34;52;86
OLIVEIRA FORTES;1;5;6
ONCA DE PITANGUI;2;10;12
ORATORIOS;-;3;3
ORIZANIA;-;3;3
OURO BRANCO;14;45;59
OURO FINO;28;61;89
OURO PRETO;124;153;277
OURO VERDE DE MINAS;-;1;1
PADRE PARAISO;3;1;4
PAINEIRAS;3;5;8
PAINS;9;8;17
PAI PEDRO;-;4;4
PAIVA;6;-;6
PALMA;3;6;9
PALMOPOLIS;4;4;8
PAPAGAIOS;4;10;14
PARACATU;35;29;64
PARA DE MINAS;205;286;491
PARAISOPOLIS;34;59;93
PARAOPEBA;8;2;10
PASSA-VINTE;2;2;4
PASSOS;94;137;231
PATOS DE MINAS;156;148;304
PATROCINIO;44;49;93
PAULA CANDIDO;12;32;44
PECANHA;2;1;3
PEDRA AZUL;2;-;2
PEDRA DO ANTA;-;4;4
PEDRA DOURADA;-;1;1
PEDRALVA;10;52;62
PEDRAS DE MARIA DA CRUZ;-;1;1
PEDRINOPOLIS;-;3;3
PEDRO LEOPOLDO;12;15;27
PEQUI;5;6;11
PERDIGAO;4;13;17
PERDIZES;28;27;55
PERDOES;8;23;31
PERIQUITO;13;17;30
PESCADOR;2;4;6
PIAU;5;3;8
PIEDADE DE CARATINGA;27;7;34
PIEDADE DE PONTE NOVA;4;7;11
PIEDADE DO RIO GRANDE;3;-;3
PIEDADE DOS GERAIS;-;9;9
PIMENTA;19;3;22
PINGO-D'AGUA;1;3;4
PIRACEMA;-;7;7
PIRANGA;6;17;23
PIRANGUCU;10;33;43
PIRANGUINHO;30;56;86
PIRAPETINGA;15;6;21
PIRAPORA;5;10;15
PIRAUBA;11;6;17
PITANGUI;59;62;121
PIUMHI;29;111;140
PLANURA;10;18;28
POCO FUNDO;34;51;85
POCOS DE CALDAS;312;471;783
POMPEU;14;28;42
