MANHUMIRIM;9;44;53
MANTENA;7;41;48
MARAVILHAS;-;8;8
MAR DE ESPANHA;-;19;19
MARIA DA FE;28;64;92
MARIANA;10;74;84
MARIPA DE MINAS;-;1;1
MARLIERIA;3;11;14
MARMELOPOLIS;8;28;36
MARTINHO CAMPOS;6;47;53
MATERLANDIA;1;4;5
MATEUS LEME;23;103;126
MATIAS BARBOSA;8;27;35
MATIAS CARDOSO;5;3;8
MATO VERDE;2;3;5
MATOZINHOS;1;6;7
MATUTINA;2;1;3
MEDEIROS;1;1;2
MEDINA;-;9;9
MENDES PIMENTEL;3;2;5
MERCES;7;15;22
MESQUITA;1;3;4
MINAS NOVAS;2;13;15
MINDURI;3;12;15
MIRABELA;3;6;9
MIRADOURO;2;4;6
MIRAI;4;21;25
MIRAVANIA;-;1;1
MOEDA;9;29;38
MOEMA;-;9;9
MONJOLOS;1;5;6
MONTE ALEGRE DE MINAS;8;27;35
MONTE AZUL;1;33;34
MONTE BELO;6;31;37
MONTE CARMELO;43;130;173
MONTE SANTO DE MINAS;26;70;96
MONTES CLAROS;89;405;494
MONTE SIAO;27;97;124
MONTEZUMA;-;1;1
MORADA NOVA DE MINAS;8;37;45
MORRO DO PILAR;-;1;1
MUNHOZ;10;16;26
MURIAE;9;82;91
MUTUM;2;3;5
MUZAMBINHO;7;22;29
NACIP RAYDAN;1;10;11
NANUQUE;4;29;33
NAQUE;2;27;29
NATERCIA;5;8;13
NAZARENO;5;19;24
NEPOMUCENO;19;51;70
NINHEIRA;-;1;1
NOVA BELEM;-;5;5
NOVA ERA;3;5;8
NOVA LIMA;36;179;215
NOVA MODICA;-;3;3
NOVA PORTEIRINHA;-;3;3
NOVA RESENDE;12;25;37
NOVA SERRANA;38;144;182
NOVO CRUZEIRO;2;10;12
NOVORIZONTE;-;8;8
OLARIA;3;3;6
OLIMPIO NORONHA;-;4;4
OLIVEIRA;16;70;86
OLIVEIRA FORTES;-;6;6
ONCA DE PITANGUI;2;10;12
ORATORIOS;1;2;3
ORIZANIA;-;3;3
OURO BRANCO;15;44;59
OURO FINO;13;76;89
OURO PRETO;38;239;277
OURO VERDE DE MINAS;-;1;1
