Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"314467 NOVA BELEM";-;5;5
"314470 NOVA ERA";-;8;8
"314480 NOVA LIMA";5;210;215
"314490 NOVA MODICA";-;3;3
"314505 NOVA PORTEIRINHA";-;3;3
"314510 NOVA RESENDE";1;36;37
"314520 NOVA SERRANA";-;182;182
"314530 NOVO CRUZEIRO";-;12;12
"314537 NOVORIZONTE";-;8;8
"314540 OLARIA";-;6;6
"314550 OLIMPIO NORONHA";-;4;4
"314560 OLIVEIRA";1;85;86
"314570 OLIVEIRA FORTES";-;6;6
"314580 ONCA DE PITANGUI";-;12;12
"314585 ORATORIOS";-;3;3
"314587 ORIZANIA";-;3;3
"314590 OURO BRANCO";-;59;59
"314600 OURO FINO";7;82;89
"314610 OURO PRETO";4;273;277
"314620 OURO VERDE DE MINAS";-;1;1
"314630 PADRE PARAISO";-;4;4
"314640 PAINEIRAS";-;8;8
"314650 PAINS";1;16;17
"314655 PAI PEDRO";-;4;4
"314660 PAIVA";-;6;6
"314670 PALMA";-;9;9
"314675 PALMOPOLIS";-;8;8
"314690 PAPAGAIOS";1;13;14
"314700 PARACATU";2;62;64
"314710 PARA DE MINAS";14;477;491
"314730 PARAISOPOLIS";-;93;93
"314740 PARAOPEBA";-;10;10
"314780 PASSA-VINTE";-;4;4
"314790 PASSOS";3;228;231
"314800 PATOS DE MINAS";9;295;304
"314810 PATROCINIO";2;91;93
"314830 PAULA CANDIDO";-;44;44
"314860 PECANHA";-;3;3
"314870 PEDRA AZUL";-;2;2
"314880 PEDRA DO ANTA";-;4;4
"314900 PEDRA DOURADA";-;1;1
"314910 PEDRALVA";-;62;62
"314915 PEDRAS DE MARIA DA CRUZ";-;1;1
"314920 PEDRINOPOLIS";-;3;3
"314930 PEDRO LEOPOLDO";1;26;27
"314960 PEQUI";-;11;11
"314970 PERDIGAO";-;17;17
"314980 PERDIZES";1;54;55
"314990 PERDOES";-;31;31
"314995 PERIQUITO";2;28;30
"315000 PESCADOR";-;6;6
"315010 PIAU";-;8;8
"315015 PIEDADE DE CARATINGA";1;33;34
"315020 PIEDADE DE PONTE NOVA";-;11;11
"315030 PIEDADE DO RIO GRANDE";1;2;3
"315040 PIEDADE DOS GERAIS";-;9;9
"315050 PIMENTA";-;22;22
"315053 PINGO-D'AGUA";-;4;4
"315060 PIRACEMA";-;7;7
"315080 PIRANGA";-;23;23
"315090 PIRANGUCU";-;43;43
"315100 PIRANGUINHO";-;86;86
"315110 PIRAPETINGA";1;20;21
"315120 PIRAPORA";-;15;15
"315130 PIRAUBA";1;16;17
"315140 PITANGUI";2;119;121
"315150 PIUMHI";1;139;140
"315160 PLANURA";1;27;28
"315170 POCO FUNDO";1;84;85
"315180 POCOS DE CALDAS";12;771;783
"315200 POMPEU";-;42;42
"315210 PONTE NOVA";6;143;149
"315220 PORTEIRINHA";2;33;35
"315230 PORTO FIRME";-;4;4
"315240 POTE";1;22;23
"315250 POUSO ALEGRE";13;476;489
"315260 POUSO ALTO";1;17;18
"315270 PRADOS";-;8;8
"315280 PRATA";-;28;28
"315290 PRATAPOLIS";-;22;22
"315300 PRATINHA";-;8;8
"315310 PRESIDENTE BERNARDES";-;4;4
"315320 PRESIDENTE JUSCELINO";-;7;7
"315330 PRESIDENTE KUBITSCHEK";-;4;4
"315360 PRUDENTE DE MORAIS";-;11;11
"315370 QUARTEL GERAL";-;9;9
"315380 QUELUZITO";-;2;2
"315390 RAPOSOS";2;25;27
"315400 RAUL SOARES";1;15;16
"315410 RECREIO";-;13;13
"315420 RESENDE COSTA";-;31;31
"315430 RESPLENDOR";2;29;31
"315440 RESSAQUINHA";-;7;7
"315445 RIACHINHO";1;10;11
"315450 RIACHO DOS MACHADOS";-;2;2
"315460 RIBEIRAO DAS NEVES";9;311;320
"315480 RIO ACIMA";1;4;5
"315490 RIO CASCA";1;17;18
"315500 RIO DOCE";-;14;14
"315510 RIO DO PRADO";-;1;1
"315520 RIO ESPERA";-;2;2
"315540 RIO NOVO";-;7;7
"315560 RIO PARDO DE MINAS";3;56;59
"315570 RIO PIRACICABA";-;12;12
"315580 RIO POMBA";2;88;90
"315590 RIO PRETO";-;1;1
"315600 RIO VERMELHO";-;2;2
"315610 RITAPOLIS";-;11;11
"315630 RODEIRO";-;2;2
"315640 ROMARIA";-;11;11
"315670 SABARA";8;178;186
"315680 SABINOPOLIS";-;20;20
"315690 SACRAMENTO";3;66;69
"315700 SALINAS";-;27;27
"315710 SALTO DA DIVISA";-;7;7
"315720 SANTA BARBARA";-;71;71
"315725 SANTA BARBARA DO LESTE";-;13;13
"315727 SANTA BARBARA DO MONTE VERDE";-;2;2
"315730 SANTA BARBARA DO TUGURIO";-;6;6
"315733 SANTA CRUZ DE MINAS";-;8;8
"315740 SANTA CRUZ DO ESCALVADO";1;3;4
"315770 SANTA JULIANA";1;25;26
"315780 SANTA LUZIA";5;60;65
"315790 SANTA MARGARIDA";1;51;52
"315800 SANTA MARIA DE ITABIRA";-;11;11
"315810 SANTA MARIA DO SALTO";-;2;2
"315820 SANTA MARIA DO SUACUI";-;7;7
"315850 SANTANA DE PIRAPAMA";1;3;4
"315870 SANTANA DO GARAMBEU";-;3;3
"315880 SANTANA DO JACARE";-;17;17
"315895 SANTANA DO PARAISO";3;76;79
"315910 SANTANA DOS MONTES";-;11;11
"315920 SANTA RITA DE CALDAS";-;45;45
"315930 SANTA RITA DE JACUTINGA";-;10;10
"315935 SANTA RITA DE MINAS";-;6;6
"315940 SANTA RITA DE IBITIPOCA";-;7;7
"315960 SANTA RITA DO SAPUCAI";3;193;196
"315970 SANTA ROSA DA SERRA";-;19;19
"315980 SANTA VITORIA";1;118;119
"315990 SANTO ANTONIO DO AMPARO";1;12;13
"316000 SANTO ANTONIO DO AVENTUREIRO";1;7;8
"316010 SANTO ANTONIO DO GRAMA";-;18;18
"316020 SANTO ANTONIO DO ITAMBE";-;21;21
"316030 SANTO ANTONIO DO JACINTO";-;3;3
"316040 SANTO ANTONIO DO MONTE";-;41;41
"316045 SANTO ANTONIO DO RETIRO";-;2;2
"316050 SANTO ANTONIO DO RIO ABAIXO";-;2;2
"316060 SANTO HIPOLITO";-;1;1
"316070 SANTOS DUMONT";-;11;11
"316080 SAO BENTO ABADE";-;11;11
"316090 SAO BRAS DO SUACUI";-;26;26
"316095 SAO DOMINGOS DAS DORES";3;9;12
"316100 SAO DOMINGOS DO PRATA";2;37;39
"316105 SAO FELIX DE MINAS";-;8;8
"316110 SAO FRANCISCO";-;13;13
"316130 SAO FRANCISCO DE SALES";-;20;20
"316150 SAO GERALDO";-;14;14
"316165 SAO GERALDO DO BAIXIO";-;4;4
"316170 SAO GONCALO DO ABAETE";-;8;8
"316190 SAO GONCALO DO RIO ABAIXO";1;14;15
"316200 SAO GONCALO DO SAPUCAI";2;93;95
"316210 SAO GOTARDO";3;74;77
"316220 SAO JOAO BATISTA DO GLORIA";1;49;50
"316230 SAO JOAO DA MATA";-;8;8
"316240 SAO JOAO DA PONTE";-;35;35
"316250 SAO JOAO DEL REI";6;164;170
"316255 SAO JOAO DO MANHUACU";-;15;15
"316260 SAO JOAO DO ORIENTE";-;35;35
"316270 SAO JOAO DO PARAISO";1;9;10
"316290 SAO JOAO NEPOMUCENO";3;72;75
"316292 SAO JOAQUIM DE BICAS";1;43;44
"316294 SAO JOSE DA BARRA";1;22;23
"316295 SAO JOSE DA LAPA";-;13;13
"316300 SAO JOSE DA SAFIRA";-;19;19
"316310 SAO JOSE DA VARGINHA";-;15;15
"316320 SAO JOSE DO ALEGRE";-;6;6
"316330 SAO JOSE DO DIVINO";-;17;17
"316340 SAO JOSE DO GOIABAL";1;8;9
"316350 SAO JOSE DO JACURI";-;1;1
"316370 SAO LOURENCO";6;226;232
"316380 SAO MIGUEL DO ANTA";-;19;19
"316390 SAO PEDRO DA UNIAO";-;16;16
"316400 SAO PEDRO DOS FERROS";3;26;29
"316410 SAO PEDRO DO SUACUI";-;5;5
"316440 SAO SEBASTIAO DA BELA VISTA";-;17;17
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;7;7
"316447 SAO SEBASTIAO DO ANTA";-;1;1
"316460 SAO SEBASTIAO DO OESTE";-;5;5
"316470 SAO SEBASTIAO DO PARAISO";8;392;400
"316490 SAO SEBASTIAO DO RIO VERDE";-;9;9
"316500 SAO TIAGO";1;79;80
"316510 SAO TOMAS DE AQUINO";-;15;15
"316520 SAO THOME DAS LETRAS";-;2;2
"316530 SAO VICENTE DE MINAS";-;10;10
"316540 SAPUCAI-MIRIM";1;49;50
"316550 SARDOA";-;17;17
"316553 SARZEDO";5;64;69
"316557 SENADOR AMARAL";-;39;39
"316570 SENADOR FIRMINO";-;1;1
"316580 SENADOR JOSE BENTO";-;13;13
"316590 SENADOR MODESTINO GONCALVES";-;10;10
