Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sedentarismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"313560 JEQUITAI";-;4;4
"313580 JEQUITINHONHA";2;-;2
"313590 JESUANIA";-;1;1
"313600 JOAIMA";9;12;21
"313610 JOANESIA";3;7;10
"313620 JOAO MONLEVADE";19;68;87
"313630 JOAO PINHEIRO";15;40;55
"313650 JORDANIA";-;1;1
"313652 JOSE GONCALVES DE MINAS";1;5;6
"313655 JOSE RAYDAN";-;11;11
"313660 NOVA UNIAO";4;16;20
"313665 JUATUBA";7;14;21
"313670 JUIZ DE FORA";351;370;721
"313690 JURUAIA";7;10;17
"313695 JUVENILIA";1;1;2
"313710 LAGAMAR";12;23;35
"313720 LAGOA DA PRATA";32;29;61
"313740 LAGOA DOURADA";-;1;1
"313750 LAGOA FORMOSA";21;21;42
"313753 LAGOA GRANDE";1;4;5
"313760 LAGOA SANTA";6;15;21
"313780 LAMBARI";64;64;128
"313800 LARANJAL";2;5;7
"313810 LASSANCE";3;1;4
"313820 LAVRAS";35;41;76
"313830 LEANDRO FERREIRA";9;4;13
"313840 LEOPOLDINA";22;14;36
"313860 LIMA DUARTE";10;21;31
"313862 LIMEIRA DO OESTE";2;3;5
"313865 LONTRA";-;1;1
"313867 LUISBURGO";4;11;15
"313880 LUZ";11;30;41
"313900 MACHADO";87;104;191
"313910 MADRE DE DEUS DE MINAS";4;11;15
"313930 MANGA";3;10;13
"313940 MANHUACU";14;30;44
"313950 MANHUMIRIM";25;28;53
"313960 MANTENA";14;34;48
"313970 MARAVILHAS";3;5;8
"313980 MAR DE ESPANHA";9;10;19
"313990 MARIA DA FE";40;52;92
"314000 MARIANA";53;31;84
"314020 MARIPA DE MINAS";-;1;1
"314030 MARLIERIA";3;11;14
"314040 MARMELOPOLIS";8;28;36
"314050 MARTINHO CAMPOS";24;29;53
"314060 MATERLANDIA";1;4;5
"314070 MATEUS LEME";86;40;126
"314080 MATIAS BARBOSA";8;27;35
"314085 MATIAS CARDOSO";1;7;8
"314100 MATO VERDE";2;3;5
"314110 MATOZINHOS";-;7;7
"314120 MATUTINA";3;-;3
"314130 MEDEIROS";-;2;2
"314140 MEDINA";1;8;9
"314150 MENDES PIMENTEL";4;1;5
"314160 MERCES";3;19;22
"314170 MESQUITA";3;1;4
"314180 MINAS NOVAS";2;13;15
"314190 MINDURI";7;8;15
"314200 MIRABELA";3;6;9
"314210 MIRADOURO";-;6;6
"314220 MIRAI";6;19;25
"314225 MIRAVANIA";-;1;1
"314230 MOEDA";26;12;38
"314240 MOEMA";5;4;9
"314250 MONJOLOS";2;4;6
"314280 MONTE ALEGRE DE MINAS";16;19;35
"314290 MONTE AZUL";8;26;34
"314300 MONTE BELO";25;12;37
"314310 MONTE CARMELO";79;94;173
"314320 MONTE SANTO DE MINAS";39;57;96
"314330 MONTES CLAROS";194;300;494
"314340 MONTE SIAO";36;88;124
"314345 MONTEZUMA";1;-;1
"314350 MORADA NOVA DE MINAS";11;34;45
"314370 MORRO DO PILAR";-;1;1
"314380 MUNHOZ";15;11;26
"314390 MURIAE";26;65;91
"314400 MUTUM";1;4;5
"314410 MUZAMBINHO";10;19;29
"314420 NACIP RAYDAN";-;11;11
"314430 NANUQUE";13;20;33
"314435 NAQUE";6;23;29
"314440 NATERCIA";4;9;13
"314450 NAZARENO";13;11;24
"314460 NEPOMUCENO";26;44;70
"314465 NINHEIRA";-;1;1
"314467 NOVA BELEM";-;5;5
"314470 NOVA ERA";3;5;8
"314480 NOVA LIMA";102;113;215
"314490 NOVA MODICA";3;-;3
"314505 NOVA PORTEIRINHA";-;3;3
"314510 NOVA RESENDE";13;24;37
"314520 NOVA SERRANA";72;110;182
"314530 NOVO CRUZEIRO";4;8;12
"314537 NOVORIZONTE";3;5;8
"314540 OLARIA";2;4;6
"314550 OLIMPIO NORONHA";1;3;4
"314560 OLIVEIRA";34;52;86
"314570 OLIVEIRA FORTES";1;5;6
"314580 ONCA DE PITANGUI";2;10;12
"314585 ORATORIOS";-;3;3
"314587 ORIZANIA";-;3;3
"314590 OURO BRANCO";14;45;59
"314600 OURO FINO";28;61;89
"314610 OURO PRETO";124;153;277
"314620 OURO VERDE DE MINAS";-;1;1
"314630 PADRE PARAISO";3;1;4
"314640 PAINEIRAS";3;5;8
"314650 PAINS";9;8;17
"314655 PAI PEDRO";-;4;4
"314660 PAIVA";6;-;6
"314670 PALMA";3;6;9
"314675 PALMOPOLIS";4;4;8
"314690 PAPAGAIOS";4;10;14
"314700 PARACATU";35;29;64
"314710 PARA DE MINAS";205;286;491
"314730 PARAISOPOLIS";34;59;93
"314740 PARAOPEBA";8;2;10
"314780 PASSA-VINTE";2;2;4
"314790 PASSOS";94;137;231
"314800 PATOS DE MINAS";156;148;304
"314810 PATROCINIO";44;49;93
"314830 PAULA CANDIDO";12;32;44
"314860 PECANHA";2;1;3
"314870 PEDRA AZUL";2;-;2
"314880 PEDRA DO ANTA";-;4;4
"314900 PEDRA DOURADA";-;1;1
"314910 PEDRALVA";10;52;62
"314915 PEDRAS DE MARIA DA CRUZ";-;1;1
"314920 PEDRINOPOLIS";-;3;3
"314930 PEDRO LEOPOLDO";12;15;27
"314960 PEQUI";5;6;11
"314970 PERDIGAO";4;13;17
"314980 PERDIZES";28;27;55
"314990 PERDOES";8;23;31
"314995 PERIQUITO";13;17;30
"315000 PESCADOR";2;4;6
"315010 PIAU";5;3;8
"315015 PIEDADE DE CARATINGA";27;7;34
"315020 PIEDADE DE PONTE NOVA";4;7;11
"315030 PIEDADE DO RIO GRANDE";3;-;3
"315040 PIEDADE DOS GERAIS";-;9;9
"315050 PIMENTA";19;3;22
"315053 PINGO-D'AGUA";1;3;4
"315060 PIRACEMA";-;7;7
"315080 PIRANGA";6;17;23
"315090 PIRANGUCU";10;33;43
"315100 PIRANGUINHO";30;56;86
"315110 PIRAPETINGA";15;6;21
"315120 PIRAPORA";5;10;15
"315130 PIRAUBA";11;6;17
"315140 PITANGUI";59;62;121
"315150 PIUMHI";29;111;140
"315160 PLANURA";10;18;28
"315170 POCO FUNDO";34;51;85
"315180 POCOS DE CALDAS";312;471;783
"315200 POMPEU";14;28;42
"315210 PONTE NOVA";54;95;149
"315220 PORTEIRINHA";13;22;35
"315230 PORTO FIRME";2;2;4
"315240 POTE";5;18;23
"315250 POUSO ALEGRE";201;288;489
"315260 POUSO ALTO";7;11;18
"315270 PRADOS";2;6;8
"315280 PRATA";14;14;28
"315290 PRATAPOLIS";10;12;22
"315300 PRATINHA";5;3;8
"315310 PRESIDENTE BERNARDES";-;4;4
"315320 PRESIDENTE JUSCELINO";2;5;7
"315330 PRESIDENTE KUBITSCHEK";-;4;4
"315360 PRUDENTE DE MORAIS";1;10;11
"315370 QUARTEL GERAL";3;6;9
"315380 QUELUZITO";1;1;2
"315390 RAPOSOS";11;16;27
"315400 RAUL SOARES";6;10;16
"315410 RECREIO";4;9;13
"315420 RESENDE COSTA";12;19;31
"315430 RESPLENDOR";14;17;31
"315440 RESSAQUINHA";3;4;7
"315445 RIACHINHO";6;5;11
"315450 RIACHO DOS MACHADOS";-;2;2
"315460 RIBEIRAO DAS NEVES";159;161;320
"315480 RIO ACIMA";4;1;5
"315490 RIO CASCA";5;13;18
"315500 RIO DOCE";11;3;14
"315510 RIO DO PRADO";1;-;1
"315520 RIO ESPERA";1;1;2
"315540 RIO NOVO";4;3;7
"315560 RIO PARDO DE MINAS";15;44;59
"315570 RIO PIRACICABA";9;3;12
"315580 RIO POMBA";40;50;90
"315590 RIO PRETO";-;1;1
"315600 RIO VERMELHO";-;2;2
"315610 RITAPOLIS";4;7;11
"315630 RODEIRO";-;2;2
"315640 ROMARIA";7;4;11
"315670 SABARA";86;100;186
"315680 SABINOPOLIS";7;13;20
"315690 SACRAMENTO";32;37;69
"315700 SALINAS";4;23;27
"315710 SALTO DA DIVISA";1;6;7
"315720 SANTA BARBARA";21;50;71
"315725 SANTA BARBARA DO LESTE";6;7;13
"315727 SANTA BARBARA DO MONTE VERDE";-;2;2
"315730 SANTA BARBARA DO TUGURIO";3;3;6
"315733 SANTA CRUZ DE MINAS";3;5;8
"315740 SANTA CRUZ DO ESCALVADO";3;1;4
"315770 SANTA JULIANA";9;17;26
"315780 SANTA LUZIA";46;19;65
"315790 SANTA MARGARIDA";6;46;52
"315800 SANTA MARIA DE ITABIRA";3;8;11
"315810 SANTA MARIA DO SALTO";-;2;2
"315820 SANTA MARIA DO SUACUI";-;7;7
"315850 SANTANA DE PIRAPAMA";1;3;4
"315870 SANTANA DO GARAMBEU";1;2;3
"315880 SANTANA DO JACARE";6;11;17
"315895 SANTANA DO PARAISO";33;46;79
"315910 SANTANA DOS MONTES";1;10;11
"315920 SANTA RITA DE CALDAS";17;28;45
"315930 SANTA RITA DE JACUTINGA";4;6;10
"315935 SANTA RITA DE MINAS";4;2;6
"315940 SANTA RITA DE IBITIPOCA";1;6;7
"315960 SANTA RITA DO SAPUCAI";86;110;196
"315970 SANTA ROSA DA SERRA";4;15;19
"315980 SANTA VITORIA";45;74;119
"315990 SANTO ANTONIO DO AMPARO";4;9;13
"316000 SANTO ANTONIO DO AVENTUREIRO";3;5;8
"316010 SANTO ANTONIO DO GRAMA";3;15;18
"316020 SANTO ANTONIO DO ITAMBE";5;16;21
"316030 SANTO ANTONIO DO JACINTO";2;1;3
"316040 SANTO ANTONIO DO MONTE";25;16;41
"316045 SANTO ANTONIO DO RETIRO";-;2;2
"316050 SANTO ANTONIO DO RIO ABAIXO";1;1;2
"316060 SANTO HIPOLITO";-;1;1
"316070 SANTOS DUMONT";6;5;11
"316080 SAO BENTO ABADE";2;9;11
"316090 SAO BRAS DO SUACUI";8;18;26
"316095 SAO DOMINGOS DAS DORES";7;5;12
