Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Tabagismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"314070 MATEUS LEME";23;103;126
"314080 MATIAS BARBOSA";8;27;35
"314085 MATIAS CARDOSO";5;3;8
"314100 MATO VERDE";2;3;5
"314110 MATOZINHOS";1;6;7
"314120 MATUTINA";2;1;3
"314130 MEDEIROS";1;1;2
"314140 MEDINA";-;9;9
"314150 MENDES PIMENTEL";3;2;5
"314160 MERCES";7;15;22
"314170 MESQUITA";1;3;4
"314180 MINAS NOVAS";2;13;15
"314190 MINDURI";3;12;15
"314200 MIRABELA";3;6;9
"314210 MIRADOURO";2;4;6
"314220 MIRAI";4;21;25
"314225 MIRAVANIA";-;1;1
"314230 MOEDA";9;29;38
"314240 MOEMA";-;9;9
"314250 MONJOLOS";1;5;6
"314280 MONTE ALEGRE DE MINAS";8;27;35
"314290 MONTE AZUL";1;33;34
"314300 MONTE BELO";6;31;37
"314310 MONTE CARMELO";43;130;173
"314320 MONTE SANTO DE MINAS";26;70;96
"314330 MONTES CLAROS";89;405;494
"314340 MONTE SIAO";27;97;124
"314345 MONTEZUMA";-;1;1
"314350 MORADA NOVA DE MINAS";8;37;45
"314370 MORRO DO PILAR";-;1;1
"314380 MUNHOZ";10;16;26
"314390 MURIAE";9;82;91
"314400 MUTUM";2;3;5
"314410 MUZAMBINHO";7;22;29
"314420 NACIP RAYDAN";1;10;11
"314430 NANUQUE";4;29;33
"314435 NAQUE";2;27;29
"314440 NATERCIA";5;8;13
"314450 NAZARENO";5;19;24
"314460 NEPOMUCENO";19;51;70
"314465 NINHEIRA";-;1;1
"314467 NOVA BELEM";-;5;5
"314470 NOVA ERA";3;5;8
"314480 NOVA LIMA";36;179;215
"314490 NOVA MODICA";-;3;3
"314505 NOVA PORTEIRINHA";-;3;3
"314510 NOVA RESENDE";12;25;37
"314520 NOVA SERRANA";38;144;182
"314530 NOVO CRUZEIRO";2;10;12
"314537 NOVORIZONTE";-;8;8
"314540 OLARIA";3;3;6
"314550 OLIMPIO NORONHA";-;4;4
"314560 OLIVEIRA";16;70;86
"314570 OLIVEIRA FORTES";-;6;6
"314580 ONCA DE PITANGUI";2;10;12
"314585 ORATORIOS";1;2;3
"314587 ORIZANIA";-;3;3
"314590 OURO BRANCO";15;44;59
"314600 OURO FINO";13;76;89
"314610 OURO PRETO";38;239;277
"314620 OURO VERDE DE MINAS";-;1;1
"314630 PADRE PARAISO";-;4;4
"314640 PAINEIRAS";1;7;8
"314650 PAINS";5;12;17
"314655 PAI PEDRO";-;4;4
